s_no,tpa,entity_code,hospital_name,address,district,subentities,single_multi,pvt_govt,directrate,edc,edc_date,year,grade,bariatric_surgery,cardiology,cardiothoracic_surgeries,dermatology,ent,endocrinology,follow_up_procedure,gastroenterology,general_medicine,general_surgery,genitourinary_surgery,gynaecology_obstetric_surgery,haemotology,hepatology,infectious_diseases,interventional_cardiology,interventional_radiology,medical_oncology,neonatology,nephrology,neurology,neurosurgery,ofms,ophthalmology_surgeries,orthopedics,paediatric_intensive_care,paediatric_surgeries,paediatrics,plastic_surgery,pmr,psychiatry,pulmonology,radiation_oncology,rehabilitation,rheumatology,spine,surgical_gastro_enterology,surgical_oncology,vascular_surgeries,joint_replacement,latitude,longitude,location_accuracy
1144,MDI,H_20073,"Govt Hospital Ambur, Tirupathur TN.","Nethaji Road, Ambur, Vellore. Dt. 635802",Tirupattur,GOVT-DMS,Multi,GOVT,GOVT,1,20-03-2017,2017,A1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,12.4983561,78.5618167,District Center
2115,MA,H_24689,"Govt Kallapadi  UPHC, Gudiyatham, Thirupathur TN.",,Tirupattur,UPHC,Multi,Govt-MTM,Govt,51,19-08-2021,2021,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.4983561,78.5618167,District Center
1846,MDI,H_24685,"Govt Kandili UPHC, Thirupathur TN.","Government Community Health Centre,Kunichi,Tirupattur",Tirupattur,Govt- MTM,Multi,Govt,Govt,51,19-08-2021,2021,A1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.45546,78.515161,Village/Town Center
2118,MA,H_24692,"Govt Melpatti UPHC, Pernambut, Thirupathur TN.",,Tirupattur,UPHC,Multi,Govt-MTM,Govt,51,19-08-2021,2021,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.4983561,78.5618167,District Center
1848,MDI,H_24687,Govt Natrampalli Thirupathur TN.,"Block Medical Officer,Government Community Health Centre ,Patchur",Tirupattur,Govt- MTM,Multi,Govt,Govt,51,19-08-2021,2021,A1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.4983561,78.5618167,District Center
1845,MDI,H_24683,"Govt Pudupettai UPHC, Jolarpet, Thirupathur TN.","Government Community Health Centre,Pudupettai",Tirupattur,Govt- MTM,Multi,Govt,Govt,51,19-08-2021,2021,A1,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,12.4983561,78.5618167,District Center
2117,MA,H_24691,"Govt Thiruvalam CHC, Katpadi, Thirupathur TN.",,Tirupattur,CHC,Multi,Govt-MTM,Govt,51,19-08-2021,2021,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.4983561,78.5618167,District Center
2116,MA,H_24690,"Govt Vaduganthangal UPHC,Thirupathur TN.",,Tirupattur,UPHC,Multi,Govt-MTM,Govt,51,19-08-2021,2021,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.4983561,78.5618167,District Center
1147,MDI,H_22748,"Govt. Hospital, Natrampalli, Tirupathur TN.",KARUNANITHI STREET PANANTHOPPU NATRAMPALLI TALUKA VELLORE DIST,Tirupattur,GOVT-DMS,Multi,GOVT,GOVT,26,06-12-2018,2018,A1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,12.5932764,78.5205618,Exact Hospital
1146,MDI,H_18873,"Govt. Vaniyambadi Hospital, Tirupathur TN.","MALANG ROAD, NOORULLAH PET, VANIYAMBADI, VELLORE DISTRICT.",Tirupattur,GOVT-DMS,Multi,GOVT,GOVT,1,20-03-2017,2017,A1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,12.6787174,78.6199879,Village/Town Center
1145,MDI,H_18872,"Govt.Head Qrtrs Hosp,Thirupathur TN.","Government Hospital,Railway station road,Tirupattur,635601.",Tirupattur,GOVT-DMS,Multi,GOVT,GOVT,1,20-03-2017,2017,A1,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,12.4968298,78.5664507,Village/Town Center
1123,MDI,H_26120,"GR Hospital, Tirupattur, TN.","KRISHNAGIRI MAIN ROAD,OPP TO PATTUPOOCHI OFFICE,PERIYAKASINAYAKAMPATTI",Tirupattur,PVT HOSPITAL,Single,PVT,PVT,82,06-01-2025,2025,S2,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.4983561,78.5618167,District Center
2203,MDI,H_25005,"Kalyani Scans and Lab, Tirupattur DC.",,Tirupattur,Private,Multi,DC PVT-STANDALONE,Pvt,55,12-11-2021,2021,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,12.4983561,78.5618167,District Center
